screen_name,profile_image_url,location,created_time,text
山猫流免许皆传,"https://tvax3.sinaimg.cn/crop.0.0.600.600.50/007pVU2cly8h7dylcl83qj30go0go405.jpg?KID=imgbed,tva&Expires=1718269871&ssig=EMeRv8QSQc",广东 珠海,Thu Jun 13 09:32:29  2024,为了上帝和祖国……[泪]
自由的sillything,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/68692b83ly8hii7sqh7j5j20u00u0q52.jpg?KID=imgbed,tva&Expires=1718269871&ssig=KRl8cWNs2L",海外 美国,Thu Jun 13 09:29:32  2024,也可能会因此而再也回不了家。[伤心] (你们斯拉夫人别打了行吗)
舍得做减法斯基斯,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/006RMZ9nly8gwzv7q59vyj30u00u0q4t.jpg?KID=imgbed,tva&Expires=1718269871&ssig=OOg2GfonJU",其他,Thu Jun 13 09:28:57  2024,写的真好[good]
任贤齐不齐,"https://tva1.sinaimg.cn/crop.0.0.1152.1152.50/9ae3e1f7jw8eronibqzb7j20w00w0dkq.jpg?KID=imgbed,tva&Expires=1718269871&ssig=Hm5dXlpWcd",四川 成都,Thu Jun 13 09:27:17  2024,像是小学语文课本上课文的感觉[哈哈]
小白菜_kkk,"https://tvax3.sinaimg.cn/crop.0.0.812.812.50/696d5bbely8hpfbsuaijwj20mk0mkn0t.jpg?KID=imgbed,tva&Expires=1718269871&ssig=3g%2FHhZtItf",广东 深圳,Thu Jun 13 09:26:44  2024,灵魂摆渡人
yssssl,"https://tvax3.sinaimg.cn/crop.0.0.932.932.50/008vex6Ply8h7tblb2leij30pw0pwjux.jpg?KID=imgbed,tva&Expires=1718269871&ssig=MI9wPm%2Bhrv",上海,Thu Jun 13 09:26:33  2024,你这微博夹总转了？
雪静悄悄的下,"https://tvax2.sinaimg.cn/crop.18.0.908.908.50/006hFl4Aly8g98df1853pj30q80p8dgr.jpg?KID=imgbed,tva&Expires=1718269872&ssig=izcHAyn1nS",其他,Thu Jun 13 13:55:45  2024,[good]
神雨的意念,"https://tvax3.sinaimg.cn/crop.0.0.720.720.50/8c9278a9ly8h9o4jhpagrj20k00k0dgw.jpg?KID=imgbed,tva&Expires=1718269872&ssig=znqrji%2BsTY",其他,Thu Jun 13 13:41:38  2024,默克尔就是邪恶势力的代言人
南风拂柳m,"https://tva2.sinaimg.cn/crop.0.0.180.180.50/4dcf0faajw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1718269872&ssig=C4ymbBezcq",江苏 南京,Thu Jun 13 13:35:22  2024,世界上有三种大妈，一种是大妈，一种是中国大妈，一种是默大妈[二哈]
qqwenwu666,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/7af41ecfly8hdumy3capmj20u00u0acn.jpg?KID=imgbed,tva&Expires=1718269872&ssig=zoEgFrnUfc",海外,Thu Jun 13 13:15:53  2024,那时司机还没有当总统呢，如果那时俄罗斯入侵，乌克兰早亡国了
